Name,Maker,Sector,Industry,Price,Collection,Ticked
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,WIKI/ABT,stocks/abt,FALSE
ABTL,Autobytel Inc.,Technology,Internet Information Providers,NA,stocks/abtl,FALSE
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,WIKI/ACAD,stocks/acad,FALSE
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,WIKI/ACAT,stocks/acat,FALSE
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,NA,stocks/abr,FALSE
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,NA,stocks/acc,FALSE
ACCL,Accelrys Inc.,Technology,Application Software,WIKI/ACCL,stocks/accl,FALSE
ACE,ACE Limited,Financial,Property & Casualty Insurance,WIKI/ACE,stocks/ace,FALSE
ACEL,"Tamir Biotechnology, Inc.",,,NA,stocks/acel,FALSE
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,WIKI/ACET,stocks/acet,FALSE
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,NA,stocks/acfc,FALSE
ACFN,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services,WIKI/ACFN,stocks/acfn,FALSE
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,WIKI/ACCO,stocks/acco,FALSE
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,WIKI/ACGL,stocks/acgl,FALSE
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,WIKI/ACHC,stocks/achc,FALSE
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ACHN,stocks/achn,FALSE
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/ACI,stocks/aci,FALSE
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,WIKI/ACIW,stocks/aciw,FALSE
ACM,AECOM Technology Corporation,Services,Technical Services,WIKI/ACM,stocks/acm,FALSE
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,WIKI/ACLS,stocks/acls,FALSE
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services,NA,stocks/acmp,FALSE
ACN,Accenture plc,Technology,Information Technology Services,WIKI/ACN,stocks/acn,FALSE
ACNB,ACNB Corp.,Financial,Regional - Southwest Banks,NA,stocks/acnb,FALSE
ACO,AMCOL International Corporation,Basic Materials,Industrial Metals & Minerals,WIKI/ACO,stocks/aco,FALSE
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/ACOR,stocks/acor,FALSE
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery,NA,stocks/acpw,FALSE
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,NA,NA,FALSE
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ACRX,stocks/acrx,FALSE
ACTG,Acacia Research Corporation,Services,Business Services,WIKI/ACTG,stocks/actg,FALSE
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories,NA,stocks/acu,FALSE
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery,NA,stocks/acur,FALSE
ACW,Accuride Corp.,Consumer Goods,Auto Parts,WIKI/ACW,stocks/acw,FALSE
ACXM,Acxiom Corporation,Technology,Information Technology Services,WIKI/ACXM,stocks/acxm,FALSE
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,NA,stocks/acy,FALSE
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services,NA,stocks/adat,FALSE
ADBE,Adobe Systems Inc.,Technology,Application Software,WIKI/ADBE,stocks/adbe,FALSE
ADC,Agree Realty Corp.,Financial,Property Management,NA,stocks/adc,FALSE
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery,NA,stocks/adep,FALSE
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/ADES,stocks/ades,FALSE
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADI,stocks/adi,FALSE
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,NA,stocks/adk,FALSE
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,WIKI/ADM,stocks/adm,FALSE
ADNC,"Audience, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADNC,stocks/adnc,FALSE
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,WIKI/ADP,stocks/adp,FALSE
ADS,Alliance Data Systems Corporation,Services,Business Services,WIKI/ADS,stocks/ads,FALSE
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,WIKI/ADSK,stocks/adsk,FALSE
ADT,The ADT Corporation,Services,Security & Protection Services,WIKI/ADT,stocks/adt,FALSE
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,WIKI/ADUS,stocks/adus,FALSE
ADTN,ADTRAN Inc.,Technology,Communication Equipment,WIKI/ADTN,stocks/adtn,FALSE
ADVS,"Advent Software, Inc.",Technology,Application Software,WIKI/ADVS,stocks/advs,FALSE
AE,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,WIKI/AE,stocks/ae,FALSE
AEC,Associated Estates Realty Corporation,Financial,REIT - Residential,NA,stocks/aec,FALSE
AEE,Ameren Corporation,Utilities,Diversified Utilities,WIKI/AEE,stocks/aee,FALSE
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,WIKI/AEGN,stocks/aegn,FALSE
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AEGR,stocks/aegr,FALSE
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,NA,stocks/aehr,FALSE
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,WIKI/AEIS,stocks/aeis,FALSE
AEL,American Equity Investment Life Holding Co.,Financial,Life Insurance,WIKI/AEL,stocks/ael,FALSE
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,WIKI/AEO,stocks/aeo,FALSE
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,WIKI/AEP,stocks/aep,FALSE
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,WIKI/AEPI,stocks/aepi,FALSE
AERG,"Applied Energetics, Inc.",Technology,Scientific & Technical Instruments,NA,stocks/aerg,FALSE
AES,The AES Corporation,Utilities,Electric Utilities,WIKI/AES,stocks/aes,FALSE
AET,Aetna Inc.,Healthcare,Health Care Plans,WIKI/AET,stocks/aet,FALSE
AERT,"Advanced Environmental Recycling Technologies, Inc.",Industrial Goods,"Lumber, Wood Production",NA,stocks/aert,FALSE
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,NA,stocks/aeti,FALSE
AF,Astoria Financial Corporation,Financial,Savings & Loans,WIKI/AF,stocks/af,FALSE
AEY,ADDvantage Technologies Group Inc.,Services,Electronics Wholesale,NA,stocks/aey,FALSE
AFA,American Financial Group Inc.,,,NA,NA,FALSE
AFAM,Almost Family Inc.,Healthcare,Home Health Care,WIKI/AFAM,stocks/afam,FALSE
AFCB,Athens Bancshares Corporation,Financial,Regional - Southeast Banks,NA,stocks/afcb,FALSE
AFCE,AFC Enterprises Inc.,,,NA,stocks/afce,FALSE
AFFM,Affirmative Insurance Holdings Inc.,Financial,Property & Casualty Insurance,NA,stocks/affm,FALSE
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,WIKI/AFFX,stocks/affx,FALSE
AFFY,"Affymax, Inc.",Healthcare,Biotechnology,NA,stocks/affy,FALSE
AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,NA,stocks/afh,FALSE
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance,WIKI/AFG,stocks/afg,FALSE
AFL,AFLAC Inc.,Financial,Accident & Health Insurance,WIKI/AFL,stocks/afl,FALSE
AFM,Affiliated Managers Group Inc.,,,NA,NA,FALSE
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics,WIKI/AFOP,stocks/afop,FALSE
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,WIKI/AFSI,stocks/afsi,FALSE
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,WIKI/AGCO,stocks/agco,FALSE
AGEN,Agenus Inc.,Healthcare,Biotechnology,NA,stocks/agen,FALSE
AGII,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance,WIKI/AGII,stocks/agii,FALSE
AGIIL,Argo Group International Holdin,,,NA,NA,FALSE
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services,WIKI/AGM,stocks/agm,FALSE
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,WIKI/AGN,stocks/agn,FALSE
AGNC,American Capital Agency Corp.,Financial,REIT - Residential,NA,NA,FALSE
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,WIKI/AGO,stocks/ago,FALSE
AGNCP,American Capital Agency Corp.,,,NA,NA,FALSE
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,WIKI/AGX,stocks/agx,FALSE
AGYS,Agilysys Inc.,Technology,Application Software,WIKI/AGYS,stocks/agys,FALSE
AHC,A. H. Belo Corporation,Services,Publishing - Newspapers,WIKI/AHC,stocks/ahc,FALSE
AHGP,"Alliance Holdings GP, L.P.",Basic Materials,Nonmetallic Mineral Mining,NA,stocks/ahgp,FALSE
AHL,Aspen Insurance Holdings Ltd.,Financial,Property & Casualty Insurance,WIKI/AHL,stocks/ahl,FALSE
AHPI,Allied Healthcare Products Inc.,Healthcare,Medical Appliances & Equipment,NA,stocks/ahpi,FALSE
AHS,AMN Healthcare Services Inc.,Healthcare,Specialized Health Services,WIKI/AHS,stocks/ahs,FALSE
AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,NA,NA,FALSE
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,WIKI/AI,stocks/ai,FALSE
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,WIKI/AIG,stocks/aig,FALSE
AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AIMC,stocks/aimc,FALSE
AIQ,"Alliance Healthcare Services, Inc.",Healthcare,Medical Laboratories & Research,WIKI/AIQ,stocks/aiq,FALSE
AIR,AAR Corp.,Services,Major Airlines,WIKI/AIR,stocks/air,FALSE
AIRM,Air Methods Corp.,Healthcare,Specialized Health Services,WIKI/AIRM,stocks/airm,FALSE
AIRT,Air T Inc.,Services,Air Delivery & Freight Services,NA,stocks/airt,FALSE
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,WIKI/AIT,stocks/ait,FALSE
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,WIKI/AIV,stocks/aiv,FALSE
AIZ,Assurant Inc.,Financial,Accident & Health Insurance,WIKI/AIZ,stocks/aiz,FALSE
AJG,Arthur J Gallagher & Co.,Financial,Insurance Brokers,WIKI/AJG,stocks/ajg,FALSE
AKR,Acadia Realty Trust,Financial,Property Management,NA,stocks/akr,FALSE
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,WIKI/AKAM,stocks/akam,FALSE
AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,WIKI/AKRX,stocks/akrx,FALSE
AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,WIKI/AKS,stocks/aks,FALSE
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,WIKI/ALB,stocks/alb,FALSE
ALCO,Alico Inc.,Consumer Goods,Farm Products,WIKI/ALCO,stocks/alco,FALSE
ALCS,"ALCO Stores, Inc.",Services,"Discount, Variety Stores",NA,stocks/alcs,FALSE
ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,WIKI/ALE,stocks/ale,FALSE
ALGT,Allegiant Travel Company,Services,Regional Airlines,WIKI/ALGT,stocks/algt,FALSE
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,WIKI/ALIM,stocks/alim,FALSE
ALGN,Align Technology Inc.,Healthcare,Medical Appliances & Equipment,WIKI/ALGN,stocks/algn,FALSE
ALJ,"Alon USA Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/ALJ,stocks/alj,FALSE
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,WIKI/ALK,stocks/alk,FALSE
ALKS,Alkermes plc,Healthcare,Drug Delivery,WIKI/ALKS,stocks/alks,FALSE
ALL,The Allstate Corporation,,,WIKI/ALL,stocks/all,FALSE
ALG,"Alamo Group, Inc.",Industrial Goods,Farm & Construction Machinery,WIKI/ALG,stocks/alg,FALSE
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,WIKI/ALEX,stocks/alex,FALSE
ALLB,Alliance Bancorp Inc of Pennsylvania,Financial,Money Center Banks,NA,stocks/allb,FALSE
ALOG,Analogic Corporation,Technology,Scientific & Technical Instruments,WIKI/ALOG,stocks/alog,FALSE
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALNY,stocks/alny,FALSE
ALR,Alere Inc.,Healthcare,Medical Laboratories & Research,WIKI/ALR,stocks/alr,FALSE
ALOT,"Astro-Med, Inc.",Technology,Computer Peripherals,NA,stocks/alot,FALSE
ALSE,"Alseres Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/alse,FALSE
ALSK,Alaska Communications Systems Group Inc.,Technology,Telecom Services - Domestic,NA,stocks/alsk,FALSE
ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,WIKI/ALSN,stocks/alsn,FALSE
ALTI,"Altair Nanotechnologies, Inc.",Technology,Diversified Electronics,NA,stocks/alti,FALSE
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts,NA,stocks/alv,FALSE
ALTR,Altera Corp.,Technology,Semiconductor - Specialized,WIKI/ALTR,stocks/altr,FALSE
ALXA,Alexza Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other,NA,stocks/alxa,FALSE
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALXN,stocks/alxn,FALSE
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Diagnostic Substances,WIKI/AMAG,stocks/amag,FALSE
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMAT,stocks/amat,FALSE
ALX,Alexander's Inc.,Financial,REIT - Retail,NA,stocks/alx,FALSE
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMBA,stocks/amba,FALSE
AMBT,Ambient Corporation,Technology,Communication Equipment,NA,stocks/ambt,FALSE
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductor - Integrated Circuits,WIKI/AMCC,stocks/amcc,FALSE
AMCF,Andatee China Marine Fuel Services Corporation,Basic Materials,Oil & Gas Equipment & Services,NA,stocks/amcf,FALSE
AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,WIKI/AMCX,stocks/amcx,FALSE
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,WIKI/AMD,stocks/amd,FALSE
AME,Ametek Inc.,Industrial Goods,Diversified Machinery,WIKI/AME,stocks/ame,FALSE
AMED,Amedisys Inc.,Healthcare,Home Health Care,WIKI/AMED,stocks/amed,FALSE
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,WIKI/AMG,stocks/amg,FALSE
AMGN,Amgen Inc.,Healthcare,Biotechnology,WIKI/AMGN,stocks/amgn,FALSE
AMIC,American Independence Corp.,Financial,Accident & Health Insurance,NA,stocks/amic,FALSE
AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,NA,stocks/amid,FALSE
AMIN,American International Industries Inc.,Services,Business Services,NA,stocks/amin,FALSE
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/AMKR,stocks/amkr,FALSE
AMNB,American National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks,WIKI/AMNB,stocks/amnb,FALSE
AMOT,Allied Motion Technologies Inc.,Industrial Goods,Industrial Electrical Equipment,NA,stocks/amot,FALSE
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,WIKI/AMP,stocks/amp,FALSE
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/AMPE,stocks/ampe,FALSE
AMRB,American River Bankshares,Financial,Regional - Pacific Banks,NA,stocks/amrb,FALSE
AMRC,"Ameresco, Inc.",Services,Technical Services,WIKI/AMRC,stocks/amrc,FALSE
AMRE,"AmREIT, Inc.",Financial,Property Management,NA,stocks/amre,FALSE
AMRI,Albany Molecular Research Inc.,Healthcare,Biotechnology,WIKI/AMRI,stocks/amri,FALSE
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,WIKI/AMRS,stocks/amrs,FALSE
AMSC,American Superconductor Corporation,Technology,Diversified Electronics,WIKI/AMSC,stocks/amsc,FALSE
AMSF,"Amerisafe, Inc.",Financial,Property & Casualty Insurance,WIKI/AMSF,stocks/amsf,FALSE
AMS,American Shared Hospital Services,Healthcare,Specialized Health Services,NA,stocks/ams,FALSE
AMSG,AmSurg Corp.,Healthcare,Hospitals,WIKI/AMSG,stocks/amsg,FALSE
AMSWA,"American Software, Inc.",Technology,Application Software,WIKI/AMSWA,stocks/amswa,FALSE
AMT,American Tower Corporation,Financial,REIT - Diversified,WIKI/AMT,stocks/amt,FALSE
AMTD,TD Ameritrade Holding Corporation,Financial,Investment Brokerage - National,WIKI/AMTD,stocks/amtd,FALSE
AMTG,"Apollo Residential Mortgage, Inc.",Financial,REIT - Residential,NA,stocks/amtg,FALSE
AMTY,Amerityre Corporation,Consumer Goods,Rubber & Plastics,NA,stocks/amty,FALSE
AMWD,American Woodmark Corp.,Consumer Goods,Home Furnishings & Fixtures,WIKI/AMWD,stocks/amwd,FALSE
AN,AutoNation Inc.,Services,Auto Dealerships,WIKI/AN,stocks/an,FALSE
ANAC,"Anacor Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ANAC,stocks/anac,FALSE
AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,WIKI/AMZN,stocks/amzn,FALSE
ANAD,"Anadigics, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ANAD,stocks/anad,FALSE
ANAT,American National Insurance Co.,Financial,Property & Casualty Insurance,WIKI/ANAT,stocks/anat,FALSE
ANCB,Anchor Bancorp,Financial,Savings & Loans,NA,stocks/ancb,FALSE
ANCX,Access National Corporation,Financial,Regional - Mid-Atlantic Banks,WIKI/ANCX,stocks/ancx,FALSE
ANDA,"Tecnoglass, Inc.",,,NA,NA,FALSE
ANDAU,Andina Acquisition Corporation,,,NA,NA,FALSE
ANDAW,Andina Acquisition Corporation,,,NA,NA,FALSE
ANEN,"Anaren, Inc.",,,NA,stocks/anen,FALSE
ANGI,"Angie's List, Inc.",Technology,Internet Software & Services,WIKI/ANGI,stocks/angi,FALSE
ANF,Abercrombie & Fitch Co.,Services,Apparel Stores,WIKI/ANF,stocks/anf,FALSE
ANGO,AngioDynamics Inc.,Healthcare,Medical Instruments & Supplies,WIKI/ANGO,stocks/ango,FALSE
ANIK,Anika Therapeutics Inc.,Healthcare,Biotechnology,WIKI/ANIK,stocks/anik,FALSE
ANLY,Analysts International Corp.,,,NA,stocks/anly,FALSE
ANDE,"The Andersons, Inc.",Consumer Goods,Farm Products,WIKI/ANDE,stocks/ande,FALSE
ANN,ANN INC.,Services,Apparel Stores,WIKI/ANN,stocks/ann,FALSE
ANH,Anworth Mortgage Asset Corporation,Financial,REIT - Diversified,NA,NA,FALSE
ANR,"Alpha Natural Resources, Inc.",Basic Materials,Industrial Metals & Minerals,WIKI/ANR,stocks/anr,FALSE
ANSS,"Ansys, Inc.",Technology,Application Software,WIKI/ANSS,stocks/anss,FALSE
ANTH,"Anthera Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,NA,stocks/anth,FALSE
ANTP,PHAZAR CORP,,,NA,stocks/antp,FALSE
ANV,Allied Nevada Gold Corp.,Basic Materials,Gold,WIKI/ANV,stocks/anv,FALSE
AOL,AOL Inc.,Technology,Internet Information Providers,WIKI/AOL,stocks/aol,FALSE
AOS,AO Smith Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/AOS,stocks/aos,FALSE
AOSL,"Alpha & Omega Semiconductor, Ltd.",Technology,Semiconductor - Specialized,WIKI/AOSL,stocks/aosl,FALSE
AP,Ampco-Pittsburgh Corp.,Industrial Goods,Diversified Machinery,WIKI/AP,stocks/ap,FALSE
APA,Apache Corp.,Basic Materials,Independent Oil & Gas,WIKI/APA,stocks/apa,FALSE
APAGF,Apco Oil & Gas International Inc.,Basic Materials,Independent Oil & Gas,WIKI/APAGF,stocks/apagf,FALSE
APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,WIKI/APAM,stocks/apam,FALSE
APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,WIKI/APC,stocks/apc,FALSE
APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals - Major Diversified,WIKI/APD,stocks/apd,FALSE
APEI,"American Public Education, Inc.",Services,Education & Training Services,WIKI/APEI,stocks/apei,FALSE
APFC,American Pacific Corporation,,,NA,stocks/apfc,FALSE
APH,Amphenol Corporation,Technology,Diversified Electronics,WIKI/APH,stocks/aph,FALSE
API,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits,NA,stocks/api,FALSE
APO,"Apollo Global Management, LLC",Financial,Diversified Investments,NA,stocks/apo,FALSE
APOG,"Apogee Enterprises, Inc.",Industrial Goods,General Building Materials,WIKI/APOG,stocks/apog,FALSE
APL,"Atlas Pipeline Partners, L.P.",Basic Materials,Oil & Gas Pipelines,NA,stocks/apl,FALSE
APP,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,WIKI/APP,stocks/app,FALSE
APOL,"Apollo Education Group, Inc.",Services,Education & Training Services,WIKI/APOL,stocks/apol,FALSE
APPY,"Venaxis, Inc.",Healthcare,Diagnostic Substances,NA,stocks/appy,FALSE
APRI,"Apricus Biosciences, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/apri,FALSE
APU,AmeriGas Partners LP,Utilities,Gas Utilities,NA,stocks/apu,FALSE
APT,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment,NA,stocks/apt,FALSE
ARAY,Accuray Incorporated,Healthcare,Medical Appliances & Equipment,WIKI/ARAY,stocks/aray,FALSE
ARCI,Appliance Recycling Centers of America Inc.,Services,Electronics Stores,NA,stocks/arci,FALSE
AOI,"Alliance One International, Inc.",Consumer Goods,"Tobacco Products, Other",WIKI/AOI,stocks/aoi,FALSE
ANCI,"American Caresource Holdings, Inc.",Healthcare,Specialized Health Services,NA,stocks/anci,FALSE
ARCP,"American Realty Capital Properties, Inc.",Financial,REIT - Diversified,NA,NA,FALSE
ARCW,"ARC Group Worldwide, Inc.",Industrial Goods,Metal Fabrication,NA,stocks/arcw,FALSE
ARDM,Aradigm Corporation,Healthcare,Drug Delivery,NA,stocks/ardm,FALSE
ARDNA,Arden Group Inc.,,,NA,stocks/ardna,FALSE
AREX,"Approach Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/AREX,stocks/arex,FALSE
ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified,NA,stocks/ari,FALSE
ARII,"American Railcar Industries, Inc.",Services,Railroads,WIKI/ARII,stocks/arii,FALSE
ARKR,Ark Restaurants Corp.,Services,Restaurants,NA,stocks/arkr,FALSE
ARL,American Realty Investors Inc.,Financial,Property Management,NA,NA,FALSE
ARLP,Alliance Resource Partners LP,Basic Materials,Industrial Metals & Minerals,NA,stocks/arlp,FALSE
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ARNA,stocks/arna,FALSE
AQQ,American Spectrum Realty Inc.,Financial,Property Management,NA,NA,FALSE
AROW,Arrow Financial Corporation,Financial,Regional - Northeast Banks,WIKI/AROW,stocks/arow,FALSE
ARP,"Atlas Resource Partners, L.P.",Basic Materials,Independent Oil & Gas,NA,stocks/arp,FALSE
ARQL,ArQule Inc.,Healthcare,Biotechnology,WIKI/ARQL,stocks/arql,FALSE
ARR,"ARMOUR Residential REIT, Inc.",Financial,REIT - Residential,NA,NA,FALSE
ARRS,"ARRIS Group, Inc.",Technology,Communication Equipment,WIKI/ARRS,stocks/arrs,FALSE
ARRY,"Array BioPharma, Inc.",Healthcare,Biotechnology,WIKI/ARRY,stocks/arry,FALSE
ARTC,ArthroCare Corporation,Healthcare,Medical Appliances & Equipment,WIKI/ARTC,stocks/artc,FALSE
ARTNA,Artesian Resources Corp.,Utilities,Water Utilities,WIKI/ARTNA,stocks/artna,FALSE
ARTW,Art's-Way Manufacturing Co. Inc.,Industrial Goods,Farm & Construction Machinery,NA,stocks/artw,FALSE
ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office,NA,stocks/are,FALSE
ARTX,Arotech Corporation,Industrial Goods,Industrial Electrical Equipment,NA,stocks/artx,FALSE
ARUN,"Aruba Networks, Inc.",Technology,Networking & Communication Devices,WIKI/ARUN,stocks/arun,FALSE
ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale,WIKI/ARW,stocks/arw,FALSE
